date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:49:21	18207/18207	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:19:21%20GMT	http://localhost/jac/index.php/departments/humanities	C:/My%20Web%20Sites/jav/localhost/jac/index.php/departments/humanities.html	(from http://localhost/jac/)
16:49:23	18116/18116	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:19:23%20GMT	http://localhost/jac/index.php/departments/geography	C:/My%20Web%20Sites/jav/localhost/jac/index.php/departments/geography.html	(from http://localhost/jac/)
16:49:25	15630/15630	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:19:25%20GMT	http://localhost/jac/index.php/gallery	C:/My%20Web%20Sites/jav/localhost/jac/index.php/gallery.html	(from http://localhost/jac/)
16:49:28	17102/17102	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:19:28%20GMT	http://localhost/jac/index.php/gallery/events	C:/My%20Web%20Sites/jav/localhost/jac/index.php/gallery/events.html	(from http://localhost/jac/)
16:49:30	12907/12907	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:19:30%20GMT	http://localhost/jac/index.php/gallery/events/cultural	C:/My%20Web%20Sites/jav/localhost/jac/index.php/gallery/events/cultural.html	(from http://localhost/jac/)
16:49:32	15645/15645	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:19:32%20GMT	http://localhost/jac/index.php/gallery/events/sports	C:/My%20Web%20Sites/jav/localhost/jac/index.php/gallery/events/sports.html	(from http://localhost/jac/)
16:49:35	15716/15716	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:19:34%20GMT	http://localhost/jac/index.php/gallery/events/fests	C:/My%20Web%20Sites/jav/localhost/jac/index.php/gallery/events/fests.html	(from http://localhost/jac/)
16:49:37	14214/14214	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:19:37%20GMT	http://localhost/jac/index.php/gallery/events/technical	C:/My%20Web%20Sites/jav/localhost/jac/index.php/gallery/events/technical.html	(from http://localhost/jac/)
16:49:39	15495/15495	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:19:39%20GMT	http://localhost/jac/index.php/gallery/infrastructure	C:/My%20Web%20Sites/jav/localhost/jac/index.php/gallery/infrastructure.html	(from http://localhost/jac/)
16:49:41	16124/16124	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Dec%202013%2011:19:41%20GMT	http://localhost/jac/index.php/gallery/infrastructure/college	C:/My%20Web%20Sites/jav/localhost/jac/index.php/gallery/infrastructure/college.html	(from http://localhost/jac/)
